City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,qaqortoq,60.7167,-46.0333,6.47,82,11,0.85,GL,1691628668
84,senanga,-16.1167,23.2667,14.29,45,2,3.2,ZM,1691628838
85,tandil,-37.3217,-59.1332,10.94,95,100,3.45,AR,1691628545
86,labasa,-16.4167,179.3833,26.91,74,73,1.56,FJ,1691628839
87,garoowe,8.4054,48.4845,23.36,66,13,10.88,SO,1691628839
88,dunedin,-45.8742,170.5036,8.22,58,80,3.58,NZ,1691628659
89,bengkulu,-3.8004,102.2655,24.79,83,15,1.83,ID,1691628558
90,horta,38.5333,-28.6333,20.57,87,100,1.34,PT,1691628676
91,huarmey,-10.0681,-78.1522,19.65,83,24,4.33,PE,1691628655
92,seme,15.1942,-12.9448,30.71,48,100,5.32,SN,1691628840
93,queenstown,-31.8976,26.8753,8.7,87,33,0.34,ZA,1691628840
94,hermanus,-34.4187,19.2345,12.67,77,0,4.23,ZA,1691628645
95,vadso,70.0744,29.7487,19.49,88,9,3.09,NO,1691628416
96,big bend,-26.8167,31.9333,17.04,86,98,1.04,SZ,1691628840
97,itaituba,-4.2761,-55.9836,27.14,62,29,1.32,BR,1691628841
98,gislaved,57.3044,13.5408,13.66,85,100,3.9,SE,1691628841
99,kingston,17.997,-76.7936,30.53,81,20,4.63,JM,1691628480
100,longyearbyen,78.2186,15.6401,10.91,58,0,2.06,SJ,1691628657
101,tura,25.5198,90.2201,24.33,96,100,1.01,IN,1691628841
102,kolleda,51.1833,11.2333,15.58,84,100,1.14,DE,1691628841
103,poplar bluff,36.757,-90.3929,22.88,67,100,2.57,US,1691628841
104,uliastay,47.7417,96.8444,16.5,69,50,0.78,MN,1691628842
105,miandrivazo,-19.5167,45.4667,19.92,61,0,0.75,MG,1691628842
106,lata,40.1629,-8.3327,15.45,95,6,0.97,PT,1691628711
107,olonkinbyen,70.9221,-8.7187,6.36,99,100,4.09,SJ,1691628663
108,jamestown,42.097,-79.2353,22.8,60,0,3.09,US,1691628672
109,egilsstadir,65.2653,-14.3948,6.95,76,40,1.03,IS,1691628478
110,papao,-17.75,-149.55,28.82,73,100,6.79,PF,1691628726
111,salamanca,40.8333,-6.0,17.88,62,0,2.03,ES,1691628741
112,kapuskasing,49.4169,-82.4331,22.05,68,75,2.06,CA,1691628432
113,meihekou,42.5272,125.6753,21.21,84,100,3.45,CN,1691628843
114,birao,10.2849,22.7882,21.12,98,100,0.88,CF,1691628843
115,avarua,-21.2078,-159.775,25.03,69,20,7.72,CK,1691628463
116,sitka,57.0531,-135.33,15.94,82,100,4.12,US,1691628844
117,touros,-5.1989,-35.4608,24.12,83,32,6.01,BR,1691628366
118,alofi,-19.0595,-169.9187,27.94,83,75,3.6,NU,1691628844
119,tomatlan,19.9333,-105.25,29.53,80,56,1.54,MX,1691628654
120,san pedro pochutla,15.7333,-96.4667,31.84,81,64,1.37,MX,1691628845
121,tequila,20.8833,-103.8333,24.6,70,66,2.24,MX,1691628845
122,stanley,54.868,-1.6985,16.55,91,20,3.6,GB,1691628647
123,el porvenir,13.7617,-87.3458,29.63,61,90,1.32,HN,1691628845
124,usogorsk,63.4106,48.6872,15.36,83,25,0.06,RU,1691628845
125,wuzhen,30.7454,120.4851,31.11,78,60,4.16,CN,1691628846
126,tambacounda,13.7539,-13.7586,31.03,70,0,5.14,SN,1691628846
127,mermoz boabab,14.7065,-17.4758,27.88,74,40,2.06,SN,1691628846
128,khao wong,16.7001,104.0902,26.59,85,93,3.27,TH,1691628847
129,kiruna,67.8557,20.2251,7.51,93,5,1.03,SE,1691628847
130,kidal,18.4411,1.4078,32.21,44,38,4.6,ML,1691628683
131,sholokhovskiy,48.2807,41.0459,22.8,64,2,2.9,RU,1691628847
132,mahibadhoo,3.7833,72.9667,27.82,78,100,6.1,MV,1691628847
133,turaif,31.6725,38.6637,25.14,22,0,3.09,SA,1691628847
134,uberaba,-19.7483,-47.9319,24.32,41,0,2.57,BR,1691628848
135,tamanrasset,22.785,5.5228,24.95,33,82,2.06,DZ,1691628848
136,kansk,56.2017,95.7175,18.15,77,88,2.32,RU,1691628848
137,baker city,44.7749,-117.8344,27.84,35,40,5.14,US,1691628826
138,shimoda,34.6667,138.95,30.2,76,46,6.13,JP,1691628728
139,tazovsky,67.4667,78.7,8.23,82,100,9.32,RU,1691628686
140,hadibu,12.65,54.0333,25.5,81,100,8.68,YE,1691628464
141,porto seguro,-16.4497,-39.0647,22.29,73,20,2.06,BR,1691628849
142,fale old settlement,-9.3852,-171.2468,28.15,79,22,7.15,TK,1691628849
143,college,64.8569,-147.8028,22.72,70,75,4.12,US,1691628661
144,san patricio,28.017,-97.5169,33.43,64,0,8.53,US,1691628477
145,grand falls-windsor,48.9332,-55.6649,14.17,88,100,3.88,CA,1691628849
146,kralupy nad vltavou,50.2411,14.3115,13.67,94,0,1.54,CZ,1691628850
147,klyuchi,52.2667,79.1667,20.3,50,64,2.31,RU,1691628678
148,hell-ville,-13.4,48.2667,23.61,74,20,1.5,MG,1691628850
149,zhigalovo,54.8097,105.1578,17.11,97,100,5.64,RU,1691628850
150,belyy yar,53.6039,91.3903,17.94,77,0,3.0,RU,1691628850
151,ust-nera,64.5667,143.2,19.98,48,7,1.48,RU,1691628654
152,luderitz,-26.6481,15.1594,22.79,41,100,3.44,NA,1691628437
153,santana,-0.0583,-51.1817,29.1,79,75,5.14,BR,1691628632
154,lompoc,34.6391,-120.4579,27.23,78,0,2.57,US,1691628654
155,kailua-kona,19.6406,-155.9956,29.98,73,75,5.14,US,1691628851
156,ramshir,30.8946,49.4092,31.86,25,16,3.32,IR,1691628851
157,dori,14.0354,-0.0345,25.87,79,100,3.35,BF,1691628851
158,okahandja,-21.9833,16.9167,16.35,30,38,4.08,NA,1691628852
159,ngara,-2.5122,30.6558,15.29,53,6,1.03,TZ,1691628852
160,peterhead,57.5058,-1.7981,12.22,78,100,1.87,GB,1691628852
161,vilyuysk,63.7553,121.6247,21.74,40,0,4.82,RU,1691628852
162,colonia,50.9333,6.95,14.92,83,0,1.03,DE,1691628663
163,sigli,5.3848,95.9609,26.23,77,97,1.89,ID,1691628853
164,susuman,62.7833,148.1667,13.11,55,6,1.17,RU,1691628685
165,ibshaway,29.358,30.6814,25.6,65,0,4.28,EG,1691628853
166,cide,41.8921,33.0044,21.62,86,77,0.99,TR,1691628853
167,hilo,19.7297,-155.09,29.04,68,75,4.63,US,1691628458
168,port macquarie,-31.4333,152.9167,21.05,35,87,2.62,AU,1691628854
169,hancheng,32.5186,112.3522,28.34,75,1,2.14,CN,1691628854
170,kavieng,-2.5744,150.7967,28.28,74,100,7.29,PG,1691628854
171,greenland,43.0362,-70.8328,23.37,78,40,2.57,US,1691628854
172,port alfred,-33.5906,26.891,15.1,90,0,0.89,ZA,1691628690
173,barcelos,41.5388,-8.6151,20.47,92,9,1.16,PT,1691628855
174,chinchilla,-26.75,150.6333,19.4,45,0,3.03,AU,1691628855
175,port blair,11.6667,92.75,28.02,83,40,3.09,IN,1691628855
176,kincardine,56.0667,-3.7167,18.44,92,79,1.87,GB,1691628855
